"Abrangência";"Quantitativo";"%";
"AC";"506.724";"0,355"
"AL";"1.995.727";"1,397"
"AM";"2.226.891";"1,559"
"AP";"455.514";"0,319"
"BA";"10.185.417";"7,132"
"CE";"6.271.554";"4,391"
"DF";"1.897.677";"1,329"
"ES";"2.653.536";"1,858"
"GO";"4.331.733";"3,033"
"MA";"4.497.336";"3,149"
"MG";"15.248.681";"10,677"
"MS";"1.818.937";"1,274"
"MT";"2.189.703";"1,533"
"PA";"5.188.450";"3,633"
"PB";"2.835.882";"1,986"
"PE";"6.356.307";"4,451"
"PI";"2.345.694";"1,642"
"PR";"7.865.950";"5,508"
"RJ";"12.141.145";"8,501"
"RN";"2.327.451";"1,630"
"RO";"1.127.154";"0,789"
"RR";"299.558";"0,210"
"RS";"8.392.033";"5,876"
"SC";"4.859.324";"3,402"
"SE";"1.454.165";"1,018"
"SP";"31.998.432";"22,404"
"TO";"996.887";"0,698"
"EXTERIOR";"354.184";"0,248"
"Total Geral";"142.822.046";""
